Name,Latitude,Longitude
Site 1,-17.540089,-149.826934
Site 2,-17.5414,-149.827146
Site 3,-17.539845,-149.827078
Site 4,-17.540681,-149.826782
Site 5,-17.5431,-149.827891
Site 6,-17.542697,-149.828906
Site 7,-17.543037,-149.829854
Site 8,-17.543071,-149.829733
Site 9,-17.541245,-149.826971
Site 10,-17.540172,-149.827588
Site 11,-17.539901,-149.827189
Site 12,-17.541691,-149.826976
Site 13,-17.542134,-149.827337
Site 14,-17.540757,-149.826789
Site 15,-17.540649,-149.826121
Site 16,-17.539645,-149.826596
Site 17,-17.541631,-149.828294
Site 18,-17.54197,-149.828346
Site 19,-17.542327,-149.828289
Site 20,-17.541786,-149.82793
Site 21,-17.54124,-149.828537
Site 22,-17.542954,-149.827866
Site 23,-17.5419,-149.827611
Site 24,-17.542067,-149.828507
Site 25,-17.543661,-149.827854
Site 26,-17.543522,-149.82792
Site 27,-17.541405,-149.828675
Site 28,-17.541394,-149.828223
Site 29,-17.541349,-149.828936
Site 30,-17.541525,-149.828936
Site 31,-17.54133,-149.828587
Site 32,-17.540563,-149.82653
Site 33,-17.541818,-149.827466
Site 34,-17.541649,-149.828693
Site 35,-17.539611,-149.827379
Site 36,-17.53925,-149.827705
Site 37,-17.539562,-149.827705
Site 38,-17.537359,-149.829507
Site 39,-17.536696,-149.829753
Site 40,-17.543563,-149.830257
Site 41,-17.545159,-149.839651
Site 42,-17.546678,-149.840998
Site 43,-17.538966,-149.827081
Site 44,-17.537332,-149.829402
Site 45,-17.546842,-149.841768
Site 46,-17.546662,-149.8417
Site 47,-17.542551,-149.829339
Site 48,-17.543144,-149.830911
Site 49,-17.535723,-149.83247
Site 50,-17.541262,-149.828961
Site 51,-17.543511,-149.82783
Site 52,-17.544869,-149.835951
Site 53,-17.541379,-149.827283
Site 54,-17.544725,-149.835742
Site 55,-17.535667,-149.832503
Site 56,-17.539573,-149.826384
Site 57,-17.54274,-149.827711
Site 58,-17.544535,-149.839674
Site 59,-17.542145,-149.828241
Site 60,-17.540137,-149.827349